cedula,nombres,apellidos,curso,nivel,año
EST001,Juan Carlos,Pérez González,Tercero Bach A,BACHILLERATO,2024
EST002,María José,López Silva,Segundo BGU B,BACHILLERATO,2024
ABC123,Pedro Antonio,Martínez Cruz,Decimo A,BASICA_SUPERIOR,2024
ID004,Ana Isabel,García Torres,9no B,BASICA_SUPERIOR,2024
12345,Luis Miguel,Hernández López,Septimo A,BASICA_MEDIA,2024
STD-006,Carmen Elena,Torres Ruiz,Sexto B,BASICA_MEDIA,2024
789,Diego Alejandro,Castro Delgado,Quinto A,BASICA_MEDIA,2024
E008,Sofía Isabella,Vargas Mendoza,Cuarto A,BASICA_ELEMENTAL,2024
999,Miguel Ángel,Jiménez Morales,Tercero B,BASICA_ELEMENTAL,2024
XYZ10,Valentina,Cruz Silva,Segundo A,BASICA_ELEMENTAL,2024
